molregno	description	helm_notation	pref_name	chembl_id	structure_type	molecule_type	oral	withdrawn_flag
197	NULL	PEPTIDE1{A.L.Y.A.S.K.L.S.[am]}$$$$	NULL	CHEMBL448105	BOTH	Protein	0	0
326	NULL	PEPTIDE1{[meR].K.P.W.[Tle].L}$$$$	NULL	CHEMBL266571	BOTH	Protein	0	0
364	NULL	PEPTIDE1{[X833].[dP].W.[Tle].[X454]}$$$$	NULL	CHEMBL268600	BOTH	Protein	0	0
365	NULL	PEPTIDE1{[X12].[dP].W.[Tle].[X454]}$$$$	NULL	CHEMBL6562	BOTH	Protein	0	0
382	NULL	PEPTIDE1{K.P.W.[Tle].L}$$$$	NULL	CHEMBL380726	BOTH	Protein	0	0
391	NULL	PEPTIDE1{[X12].[dP].W.I.L}$$$$	NULL	CHEMBL427604	BOTH	Protein	0	0
392	NULL	PEPTIDE1{[X500].[dP].W.[Tle].[X454]}$$$$	NULL	CHEMBL265671	BOTH	Protein	0	0
395	NULL	PEPTIDE1{K.F.Y.C.N.G.K.R.V.C.V.C.R.[am]}$$$$	NULL	CHEMBL266306	BOTH	Protein	0	0
446	NULL	PEPTIDE1{G.R.G.D.S.P}$$$$	NULL	CHEMBL6602	BOTH	Protein	0	0
448	NULL	PEPTIDE1{[X12].[dP].Y.[Tle].L}$$$$	NULL	CHEMBL6508	BOTH	Protein	0	0
449	NULL	PEPTIDE1{[X12].[dP].W.[Tle].L}$$$$	NULL	CHEMBL269601	BOTH	Protein	0	0
450	NULL	PEPTIDE1{[X833].[dP].W.[Tle].L}$$$$	NULL	CHEMBL267459	BOTH	Protein	0	0
1387	NULL	PEPTIDE1{G.L.A.G.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$	NULL	CHEMBL428140	BOTH	Protein	0	0
1394	NULL	PEPTIDE1{G.L.Q.G.R.L.Q.R.A.L.Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$	NULL	CHEMBL409291	BOTH	Protein	0	0
