Symbol,CXSMILES,Monomer_Type,R1,R2,R3
X2484,CC(=O)SCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X414,[*]N(CC([*])=O)c1ccccc1 |$_R1;;;;_R2;;;;;;;$|,Backbone,H,OH,-
X508,FC(F)(F)CC[C@@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
Aib_OMe,COC(=O)C(C)(C)N[*] |$;;;;;;;;_R1$|,Backbone,H,-,-
Boc_V,CC(C)[C@H](NC(=O)OC(C)(C)C)C([*])=O |$;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X1648,OC(=O)COC(=O)[C@@H]1CCCN1[*] |$;;;;;;;;;;;;_R1$|,Backbone,H,-,-
X2263,OS(=O)(=O)Oc1ccc(C[C@H](NC(=O)OCc2ccccc2)C([*])=O)cc1 |$;;;;;;;;;;;;;;;;;;;;;;;_R2;;;$|,Backbone,-,OH,-
X2236,C[N+](C)(C)[C@@H](Cc1ccc(O)cc1)C([*])=O |$;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X2239,NC(=N)NCCC[C@H](NCCCCCC(=O)[C@H](CC(O)=O)N[*])C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
dPhe(4-Cl),Clc1ccc(C[C@@H](N[*])C([*])=O)cc1 |$;;;;;;;;_R1;;_R2;;;$|,Backbone,H,OH,-
d3-Pal,[*]N[C@H](Cc1cccnc1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
H,[*]N[C@@H](Cc1cnc[nH]1)C([*])=O |$_R1;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X1,[*]NC1(CCCCC1)C([*])=O |$_R1;;;;;;;;;_R2;$|,Backbone,H,OH,-
X945,C[C@H]([C@@H](N[*])C([*])=O)c1ccc(O)cc1 |$;;;;_R1;;_R2;;;;;;;;$|,Backbone,H,OH,-
X807,COC(=O)[C@H](Cc1cccc(OC(=O)c2ccccc2)c1)N[*] |$;;;;;;;;;;;;;;;;;;;;;;_R1$|,Backbone,H,-,-
dSer(Bzl),[*]N[C@H](COCc1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X1032,CCCc1ncc(C[C@H](N[*])C([*])=O)[nH]1 |$;;;;;;;;;;_R1;;_R2;;$|,Backbone,H,OH,-
X824,CC1(C)CC[C@H](N1[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X1157,[*]N1C[C@@H](C[C@H]1C([*])=O)Oc1cccc2ccccc12 |$_R1;;;;;;;_R2;;;;;;;;;;;;$|,Backbone,H,OH,-
Me_P,CN1CCC[C@H]1C([*])=O |$;;;;;;;_R2;$|,Backbone,-,OH,-
X1035,C[C@](Cc1ccccc1)(N[*])C([*])=O |$;;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X1211,CC(C)(C)c1ccc(C[C@@H](N[*])C([*])=O)cc1 |$;;;;;;;;;;;_R1;;_R2;;;$|,Backbone,H,OH,-
X1163,CC(C)[C@H](N[*])C(=O)c1ncco1 |$;;;;;_R1;;;;;;;$|,Backbone,H,-,-
